index	label	sentence	POS	FGPOS	w_index
1	1	If he had taken his own rule seriously,  he would have found out that DRG has a very modest self-service canteen at its Bristol head office.	verb	VBZ	18
2	1	Alongwith Sir James he found the US much more attractive,  taking over and breaking some fairly hefty US corporations.	verb	VBZ	17
3	1	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life the early 1980s.	verb	VBZ	12
4	1	He rejects charges that he was partly responsible for the ‘ casino atmosphere ’ that gripped US corporate life the early 1980s.	verb	VBZ	15
5	1	a takeover campaign that has already seen vitriolic language,  he responds the charge that he is mounting the bid to enrich himself and his friends by saying:  ‘ Nobody could take as a criticism—  is an investor group.	verb	VBZ	18
6	1	clause has never yet been activated.	verb	VBZ	6
7	1	The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid the wages of age group to entice young people education and unskilled or semi- skilled jobs.	verb	VBZ	29
8	1	The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid the wages of age group to entice young people education and unskilled or semi- skilled jobs.	verb	VBZ	30
9	1	Only then will two vitally important and complementary goals be achieved:  to improve Britain 's general educational and vocational competence,  and hence our productive capacity;  and to reduce our gross educational inequalities the elite who receive a narrow education a very high standard,  and the rest.	verb	VBZ	18
10	1	Sir:  Labour does not need a commitment proportional representation inorder to scoop most of the centre ground the general election.	verb	VBZ	12
11	1	Sir:  If Labour is to suggest the setting of a specialist labour court ( 30 September ),  then such a momentous change the industrial relations system deserves more discussion,  and needs to be taken the hot-house of Labour Party conference politics.	verb	VBZ	38
12	1	Second,  it would ensure that workers enjoyed positive rights law and reduce the emphasis of union immunities.	verb	VBZ	17
13	1	Labour law will always reflect the balance of power society,  and a fully fledged labour court system will not remove class and fundamental employer-employee differences.	verb	VBZ	4
14	1	Labour law will always reflect the balance of power society,  and a fully fledged labour court system will not remove class and fundamental employer-employee differences.	verb	VBZ	14
15	1	But it should be possible to create and enforce enough common rules to prevent the absurd see-sawing of industrial relations legislation we have seen since 1969.	verb	VBZ	16
16	1	The supposedly jokey answers are illustrated by photographs of people sleeping outside covered by copies of The Independent:  they look of the of visitors come Crypt Centre for homeless people day.	verb	VBZ	33
17	1	Now,  it would appear article,  that ideal is shattered and a -tiered Europe is the cards.	verb	VBZ	11
18	1	Now,  it would appear article,  that ideal is shattered and a -tiered Europe is the cards.	verb	VBZ	14
19	1	is a clear example of the extension of the Prevention of Terrorism Act criteria for stopping,  questioning and searching are purely subjective the official involved.	verb	VBZ	7
20	1	is a recipe for fear and anxiety.	verb	VBZ	3
21	1	Montenegro 's sudden rehabilitation of Nicholas 's memory is a popular move.	verb	VBZ	3
22	1	For a man whom Rebecca West,  a contemporary Balkan observer,  called ‘ repulsive ’ and ‘ treacherous ’ for deserting his Serbian son-in-law,  King Alexander,  the First World War,  it is a tinted view of history.	verb	VBZ	12
23	1	furthered his long-term ambition to rule a large ‘ south Slav ’ kingdom when the Ottoman Empire finally collapsed.	verb	VBZ	19
24	1	influences laid the foundations for the blend of the naive and the sophisticated which is the hallmark of Thomson 's maturity.	verb	VBZ	17
25	1	Four Saints Thomson 's informality was given free reign since he first of all improvised the music at the piano then,  when it stuck,  wrote it down a figured bass.	verb	VBZ	30
26	1	He said:  ‘ I had wondered whether a piece so drenched Anglican chant ( running Gilbert and Sullivan Morning Prayer and back ) could rise and sail. ’	verb	VBZ	29
27	1	But the resulting mixture of hymns,  folksy tunes and recitatives—  times of intoxicating banality—  was a sensation.	verb	VBZ	13
28	1	Just as Thomson transferred Stein 's literary abstraction music,  so portraits unusually employ the painter 's technique of drawing the sitter life:  an ideal combination of Thomson 's habit of immediate response an actual subject.	verb	VBZ	22
29	1	The results are terse and sharply etched,  the best line drawings.	verb	VBZ	3
30	1	The results are terse and sharply etched,  the best line drawings.	verb	VBZ	6
31	1	He started by writing occasional articles but 1939 he wrote The State of Music,  a trenchant and provocative assessment of the machinery of the musical profession the time.	verb	VBZ	19
32	1	He started by writing occasional articles but 1939 he wrote The State of Music,  a trenchant and provocative assessment of the machinery of the musical profession the time.	verb	VBZ	22
33	1	As both composer and critic he touched both sides of the coin:  A climate of receptivity is what the artist most desires.	verb	VBZ	6
34	1	He fearlessly attacked convention,  which caused problems when he pitched established reputations.	verb	VBZ	9
35	1	It has become increasingly apparent that Thomson belonged the American experimental tradition.	verb	VBZ	7
36	1	There are Stein settings,  suchas ‘ Portrait of FB ’,  but also cycles suchas Five Songs from William Blake,  Prayers and Praises and a cantata based poems by Edward Lear.	verb	VBZ	6
37	1	There are Stein settings,  suchas ‘ Portrait of FB ’,  but also cycles suchas Five Songs from William Blake,  Prayers and Praises and a cantata based poems by Edward Lear.	verb	VBZ	12
38	1	From there,  a buzzard its eyrie,  he would make forays round the US and abroad inspiteof his advanced age.	verb	VBZ	4
39	1	From there,  a buzzard its eyrie,  he would make forays round the US and abroad inspiteof his advanced age.	verb	VBZ	7
40	1	From there,  a buzzard its eyrie,  he would make forays round the US and abroad inspiteof his advanced age.	verb	VBZ	11
41	1	He seemed a genial and indestructible landmark the history of American music,  inspiteof defective hearing which had bothered him since the late Seventies.	verb	VBZ	5
